ratio,group_n,n,n_pos,zero_share,dist,aic,bic,ks_p,n_fit,params,Adj Strategy,Grade,AgeBucket
draw_ratio,256,244,81,0.6680327868852459,gamma,-239.44296420492955,-232.25961674091224,0.5693839389595748,81,"(0.5494876132088489, 0, np.float64(0.17162439841907356))",Business Angels,B,20+
rep_ratio,256,244,23,0.9057377049180327,lognorm,-71.846910479133,-68.44042783134554,0.8304974249448518,23,"(np.float64(1.90471045543628), 0, np.float64(0.023386585758321976))",Business Angels,B,20+
rc_ratio_given_rep,256,23,0,1.0,beta,,,,0,no_data,Business Angels,B,20+
draw_ratio,230,230,70,0.6956521739130435,weibull_min,-133.55688547936018,-126.8113997532121,0.8717078363262579,70,"(np.float64(0.7514787715445734), 0, np.float64(0.12333891813317518))",Business Angels,C,20+
rep_ratio,230,230,23,0.9,lognorm,-77.32408613783745,-73.91760349005,0.9631344624660667,23,"(np.float64(1.7843647487829997), 0, np.float64(0.022161600854856814))",Business Angels,C,20+
rc_ratio_given_rep,230,23,0,1.0,beta,,,,0,no_data,Business Angels,C,20+
draw_ratio,177,133,11,0.9172932330827067,beta,-2.2251079547283688,-1.0147675827521851,0.4037130739861531,10,"(np.float64(0.8216166631871537), np.float64(2.7940837291591176), 0, 1)",Hybrid Debt-Equity,A,20+
rep_ratio,177,177,83,0.5310734463276836,gamma,-136.66617567675902,-129.40965385336924,0.9487597426729713,83,"(0.7382028645979917, 0, np.float64(0.21834405776038796))",Hybrid Debt-Equity,A,20+
rc_ratio_given_rep,177,83,9,0.891566265060241,beta,5.326321530213632,5.644087696932975,0.9288525237375128,8,"(np.float64(1.360182481732356), np.float64(2.284908086893272), 0, 1)",Hybrid Debt-Equity,A,20+
draw_ratio,346,277,66,0.7617328519855595,beta,-150.6263923637453,-142.0538534581792,0.16855170255461438,63,"(np.float64(0.33738233615293967), np.float64(1.5933474668399683), 0, 1)",Hybrid Debt-Equity,B,20+
rep_ratio,346,332,162,0.5120481927710844,weibull_min,-310.47189935684304,-301.2091103511459,0.7880348484031292,162,"(np.float64(0.9009858136514053), 0, np.float64(0.1325350901584319))",Hybrid Debt-Equity,B,20+
rc_ratio_given_rep,346,162,12,0.9259259259259259,beta,5.8735820289819305,7.465163120175413,0.9283170112063961,11,"(np.float64(1.4952670496249019), np.float64(1.9216287804047023), 0, 1)",Hybrid Debt-Equity,B,20+
draw_ratio,216,188,68,0.6382978723404256,weibull_min,-307.63780808105014,-300.9792849655218,0.017078340525782942,68,"(np.float64(0.6185092139059072), 0, np.float64(0.032031870342881755))",Hybrid Debt-Equity,C,20+
rep_ratio,216,211,114,0.4597156398104265,lognorm,-229.8483811214724,-221.63978577628893,0.01451411776820139,114,"(np.float64(1.5233489812254983), 0, np.float64(0.056457200241203376))",Hybrid Debt-Equity,C,20+
rc_ratio_given_rep,216,114,6,0.9473684210526315,beta,-1.4148533699618735,-2.9771017202254724,0.73635985782289,5,"(np.float64(0.8588843582333648), np.float64(5.067313653034828), 0, 1)",Hybrid Debt-Equity,C,20+
draw_ratio,260,250,135,0.46,lognorm,-559.0167611384556,-550.3009368031403,0.05029616209196818,135,"(np.float64(1.278882817526476), 0, np.float64(0.02334015287802467))",Private Equity,A,0-3
rep_ratio,260,111,6,0.9459459459459459,gamma,-12.37835557992264,-13.003077172238475,0.9060046627145255,6,"(0.751469795306099, 0, np.float64(0.10907222518201991))",Private Equity,A,0-3
rc_ratio_given_rep,260,10,5,0.5,beta,-14.253568083266146,-19.480979361026364,0.933249097790539,2,"(np.float64(113165.2471555748), np.float64(16655.541636597565), 0, 1)",Private Equity,A,0-3
draw_ratio,267,265,178,0.3283018867924528,weibull_min,-504.0752047547292,-494.529854103853,0.6531511702569821,178,"(np.float64(1.1932567010302504), 0, np.float64(0.09508145280482444))",Private Equity,A,4-7
rep_ratio,267,239,26,0.891213389121339,lognorm,-108.00317200919491,-104.22888239513047,0.9485106399572059,26,"(np.float64(2.5489928499470706), 0, np.float64(0.010598894814987367))",Private Equity,A,4-7
rc_ratio_given_rep,267,28,12,0.5714285714285714,beta,6.9351463004142335,1.7077350226540147,0.9378128698062408,2,"(np.float64(0.5226714713810942), np.float64(1.0040353066836276), 0, 1)",Private Equity,A,4-7
draw_ratio,267,266,176,0.3383458646616541,gamma,-390.1205877829764,-380.60913579786194,0.4694717371801246,176,"(0.9592957197942631, 0, np.float64(0.1245286792869708))",Private Equity,A,8-11
rep_ratio,267,263,40,0.8479087452471483,gamma,-165.3562552453146,-160.28961688297278,0.9105524429571448,40,"(0.4053471749892933, 0, np.float64(0.16039533688349006))",Private Equity,A,8-11
rc_ratio_given_rep,267,41,21,0.4878048780487805,beta,4.149983981874212,4.93888229121909,0.8986218433249225,9,"(np.float64(0.49242038507634506), np.float64(0.7224042167672541), 0, 1)",Private Equity,A,8-11
draw_ratio,250,250,161,0.356,weibull_min,-282.82730155787596,-273.58308846292255,0.9746058559512207,161,"(np.float64(0.9891851660970126), 0, np.float64(0.14932209550630499))",Private Equity,A,12-15
rep_ratio,250,250,61,0.756,weibull_min,-172.36363578708145,-166.03101419456152,0.9775248236479805,61,"(np.float64(0.7443210570340036), 0, np.float64(0.07736536194759575))",Private Equity,A,12-15
rc_ratio_given_rep,250,61,30,0.5081967213114754,beta,2.213201763889516,5.30355665284864,0.37530596859973997,16,"(np.float64(0.6588387538217866), np.float64(1.2438773360757847), 0, 1)",Private Equity,A,12-15
draw_ratio,223,223,126,0.4349775784753363,weibull_min,-205.09873990151183,-196.5898941806574,0.6718694226621689,126,"(np.float64(1.120434403598698), 0, np.float64(0.16754734141430055))",Private Equity,A,16-19
rep_ratio,223,223,71,0.6816143497757847,beta,-201.06983718515795,-192.0191176769927,0.46592738391697286,71,"(np.float64(0.43918727650254186), np.float64(3.5527805442208704), 0, 1)",Private Equity,A,16-19
rc_ratio_given_rep,223,71,29,0.5915492957746479,beta,6.67905899562347,11.221035859340068,0.2026041878653948,23,"(np.float64(0.7537400277308073), np.float64(0.8893491489013255), 0, 1)",Private Equity,A,16-19
draw_ratio,1072,928,281,0.697198275862069,beta,-553.5247270153857,-539.1162517318669,0.16704187377933766,271,"(np.float64(0.7042317138270286), np.float64(4.523746276205256), 0, 1)",Private Equity,A,20+
rep_ratio,1072,1039,376,0.6381135707410972,gamma,-397.5152667093293,-385.7264992791596,0.5138599607307315,376,"(0.6697629313314216, 0, np.float64(0.3419034086001055))",Private Equity,A,20+
rc_ratio_given_rep,1072,376,99,0.7367021276595744,beta,-93.0972657594754,-83.82731330533016,0.6417638690091183,75,"(np.float64(0.6167303926511629), np.float64(2.4573505933558804), 0, 1)",Private Equity,A,20+
draw_ratio,629,577,314,0.4558058925476603,lognorm,-1025.6046919460823,-1014.3565129883575,0.01200964222599759,314,"(np.float64(1.3910860734486263), 0, np.float64(0.03365122048560067))",Private Equity,B,0-3
rep_ratio,629,255,2,0.9921568627450981,weibull_min,-9.228241584364186,-13.14880004268435,0.9252299091434407,2,"(np.float64(1.0840045774539502), 0, np.float64(0.00846017332418734))",Private Equity,B,0-3
rc_ratio_given_rep,629,10,1,0.9,lognorm,-71.05915374898628,-77.05915374898628,1.0,1,"(np.float64(7.37441270765748e-18), 0, np.float64(1.0))",Private Equity,B,0-3
draw_ratio,651,635,363,0.4283464566929134,beta,-1031.3281211579222,-1015.7615443106191,0.03634889560075938,362,"(np.float64(0.945171791821694), np.float64(9.818576077102742), 0, 1)",Private Equity,B,4-7
rep_ratio,651,578,27,0.9532871972318339,lognorm,-64.07859495632383,-60.19108435831084,0.8221071163693072,27,"(np.float64(1.5264192622164825), 0, np.float64(0.04329946790297899))",Private Equity,B,4-7
rc_ratio_given_rep,651,30,12,0.6,weibull_min,-3.7088583047260926,-2.254138355362091,0.0028027938409740383,12,"(np.float64(8.2339686192622), 0, np.float64(0.9772003142749703))",Private Equity,B,4-7
draw_ratio,616,605,398,0.3421487603305785,weibull_min,-930.7774421041568,-918.8180860883034,0.0764164486225708,398,"(np.float64(0.9595473981098539), 0, np.float64(0.11148965630704452))",Private Equity,B,8-11
rep_ratio,616,613,79,0.8711256117455138,beta,-199.4165403046328,-189.93874889476473,0.8233057986700348,79,"(np.float64(0.5584603131950312), np.float64(4.4959713973696225), 0, 1)",Private Equity,B,8-11
rc_ratio_given_rep,616,80,41,0.4875,beta,5.887745058975517,9.220598435200381,0.9827351846709869,17,"(np.float64(0.9297777066455215), np.float64(0.6908867771799133), 0, 1)",Private Equity,B,8-11
draw_ratio,562,552,340,0.38405797101449274,weibull_min,-580.9431102219608,-569.4562733691301,0.6766734176984164,340,"(np.float64(0.8954975810888584), 0, np.float64(0.14795889245131028))",Private Equity,B,12-15
rep_ratio,562,559,103,0.815742397137746,gamma,-241.17661887636947,-233.27243191168057,0.5495204350726546,103,"(0.5627120470550726, 0, np.float64(0.22657195597463825))",Private Equity,B,12-15
rc_ratio_given_rep,562,103,47,0.5436893203883495,beta,-2.0311879467382727,2.3329818666949915,0.1484471483453439,22,"(np.float64(0.9863677272781074), np.float64(2.115927910119534), 0, 1)",Private Equity,B,12-15
draw_ratio,494,479,298,0.3778705636743215,beta,-455.05648682409424,-440.29504900679797,0.11711832811745271,296,"(np.float64(0.8869941099848225), np.float64(4.311942624501062), 0, 1)",Private Equity,B,16-19
rep_ratio,494,490,114,0.7673469387755102,gamma,-233.76990590001415,-225.56131055483067,0.5008184359242371,114,"(0.5977919542248509, 0, np.float64(0.2397471853470555))",Private Equity,B,16-19
rc_ratio_given_rep,494,114,41,0.6403508771929824,beta,-7.221405419428441,-3.043315668534749,0.7461447451972174,21,"(np.float64(1.1601561755229344), np.float64(3.0229501564923726), 0, 1)",Private Equity,B,16-19
draw_ratio,1730,1372,580,0.577259475218659,beta,-1077.1840254777107,-1059.858018078136,0.0006159568944112887,562,"(np.float64(0.6638599389208116), np.float64(3.8681167497476605), 0, 1)",Private Equity,B,20+
rep_ratio,1730,1718,568,0.6693830034924331,beta,-812.9882724362667,-795.6197867613821,0.6532333791005155,568,"(np.float64(0.5929880789498696), np.float64(2.4738390877837135), 0, 1)",Private Equity,B,20+
rc_ratio_given_rep,1730,568,114,0.7992957746478874,beta,-96.71476847554806,-87.28793316878969,0.24503798868233861,78,"(np.float64(0.3840222825320328), np.float64(1.0379103183347387), 0, 1)",Private Equity,B,20+
draw_ratio,341,312,173,0.44551282051282054,lognorm,-596.5539893788721,-587.0941145953788,0.057431438717706396,173,"(np.float64(1.5346900444867355), 0, np.float64(0.02763278118711932))",Private Equity,C,0-3
rep_ratio,341,159,4,0.9748427672955975,lognorm,3.936554804990388,2.0954378883500593,0.9873015863540063,4,"(np.float64(1.5477823415304615), 0, np.float64(0.12079113987028971))",Private Equity,C,0-3
rc_ratio_given_rep,341,5,2,0.6,weibull_min,7.093412485485095,3.172854027164931,0.925230776227484,2,"(np.float64(2.133526390992169), 0, np.float64(0.7526471291995076))",Private Equity,C,0-3
draw_ratio,350,340,184,0.4588235294117647,beta,-534.1402602551739,-521.2805172247379,0.18990162586043258,184,"(np.float64(0.8788429511131363), np.float64(9.501753482639588), 0, 1)",Private Equity,C,4-7
rep_ratio,350,298,10,0.9664429530201343,lognorm,-27.19434604632866,-26.286590767346524,0.6688360894851383,10,"(np.float64(1.9638324122637896), 0, np.float64(0.0234343188856717))",Private Equity,C,4-7
rc_ratio_given_rep,350,11,3,0.7272727272727273,lognorm,-225.17746124695884,-227.88162438095452,0.3333333333333333,3,"(np.float64(7.37441270765748e-18), 0, np.float64(1.0))",Private Equity,C,4-7
draw_ratio,328,323,199,0.38390092879256965,weibull_min,-469.6486980879477,-459.76878361377425,0.7357948351772914,199,"(np.float64(0.9949926492502307), 0, np.float64(0.11111498892936074))",Private Equity,C,8-11
rep_ratio,328,321,31,0.9034267912772586,weibull_min,-98.25776162923991,-93.95580001578446,0.9521823395995253,31,"(np.float64(0.7037582141260583), 0, np.float64(0.06120639179982172))",Private Equity,C,8-11
rc_ratio_given_rep,328,31,12,0.6129032258064516,beta,-10.560791570043666,-11.393753693131446,0.2230633176007446,6,"(np.float64(0.6547239540387758), np.float64(0.2278112719283749), 0, 1)",Private Equity,C,8-11
draw_ratio,292,290,178,0.38620689655172413,gamma,-364.1372986561303,-354.5919480052541,0.1994440386468178,178,"(0.9810875866357314, 0, np.float64(0.1325892343580181))",Private Equity,C,12-15
rep_ratio,292,292,48,0.8356164383561644,lognorm,-141.7290669246509,-136.11546389192722,0.537450422589947,48,"(np.float64(1.7032551834033136), 0, np.float64(0.030490984956810362))",Private Equity,C,12-15
rc_ratio_given_rep,292,48,15,0.6875,beta,6.201413466419023,6.519179633138366,0.9443818339066735,8,"(np.float64(1.770970700699398), np.float64(2.0128548402466246), 0, 1)",Private Equity,C,12-15
draw_ratio,276,271,175,0.35424354243542433,beta,-246.458546925873,-233.8453805478819,0.524095661277852,173,"(np.float64(0.8655469203879339), np.float64(3.9668992181590124), 0, 1)",Private Equity,C,16-19
rep_ratio,276,276,59,0.7862318840579711,lognorm,-143.94340332305288,-137.71079099133573,0.9969681966928317,59,"(np.float64(1.7744103915812048), 0, np.float64(0.03826906027366192))",Private Equity,C,16-19
rc_ratio_given_rep,276,59,20,0.6610169491525424,beta,-3.543628357291162,-3.759987761069909,0.3539185901516234,7,"(np.float64(0.5251305257849838), np.float64(2.3331467955819245), 0, 1)",Private Equity,C,16-19
draw_ratio,1115,1012,427,0.5780632411067194,beta,-670.8439211189516,-654.7211800779065,0.005513332642524858,416,"(np.float64(0.6096904622750736), np.float64(2.887111488436167), 0, 1)",Private Equity,C,20+
rep_ratio,1115,1101,313,0.7157129881925522,gamma,-626.9251617386403,-615.6865521670198,0.2523356303069467,313,"(0.6119937708616783, 0, np.float64(0.24124312458079106))",Private Equity,C,20+
rc_ratio_given_rep,1115,314,66,0.7898089171974523,beta,5.544589054287588,12.945179461127822,0.7242691075742334,47,"(np.float64(0.9929431917527893), np.float64(1.26186583563044), 0, 1)",Private Equity,C,20+
draw_ratio,444,333,85,0.7447447447447447,beta,-60.334677028050734,-50.856885618182645,0.3157867271551174,79,"(np.float64(0.5944876394593271), np.float64(1.67347358171864), 0, 1)",Private Equity,D,20+
rep_ratio,444,418,86,0.7942583732057417,weibull_min,-76.95592681930013,-69.59288493053961,0.6422093076316977,86,"(np.float64(0.8090754963899706), 0, np.float64(0.21063858275607067))",Private Equity,D,20+
rc_ratio_given_rep,444,86,17,0.8023255813953488,beta,4.580041575778222,6.519668174930223,0.8821079761255936,12,"(np.float64(0.5597516293187053), np.float64(0.5977724735041664), 0, 1)",Private Equity,D,20+
draw_ratio,165,165,30,0.8181818181818182,fisk,-36.79426718824465,-32.59067504325819,0.854670661953182,30,"(np.float64(2.489635570680535), 0, np.float64(0.15175307800031312))",Special Structure/ FoF,C,20+
rep_ratio,165,165,43,0.7393939393939394,lognorm,-120.61225324444354,-115.32865289736284,0.9541984764133139,43,"(np.float64(0.9506943215921576), 0, np.float64(0.05838995896031048))",Special Structure/ FoF,C,20+
rc_ratio_given_rep,165,43,0,1.0,beta,,,,0,no_data,Special Structure/ FoF,C,20+
draw_ratio,310,228,140,0.38596491228070173,beta,-296.59307493187714,-284.8551791993544,0.559607423822452,139,"(np.float64(1.5456803175644744), np.float64(10.018286340012072), 0, 1)",TTA,C,20+
rep_ratio,310,310,47,0.8483870967741935,weibull_min,-175.42475484510655,-169.87431203997636,0.39749232281268276,47,"(np.float64(0.7142701797354518), 0, np.float64(0.047472341075924636))",TTA,C,20+
rc_ratio_given_rep,310,47,4,0.9148936170212766,weibull_min,7.819650802020151,5.978533885379823,0.7105005053566507,4,"(np.float64(1.5895446742267563), 0, np.float64(0.5872262810483082))",TTA,C,20+
draw_ratio,216,172,57,0.6686046511627907,beta,-65.9928672804096,-58.11169962620111,0.7927678468263979,53,"(np.float64(1.6131863695771613), np.float64(6.1842982144159), 0, 1)",TTA,D,20+
rep_ratio,216,216,26,0.8796296296296297,weibull_min,-64.48063516445576,-60.70634555039132,0.9846465134424425,26,"(np.float64(0.6599253394989252), 0, np.float64(0.08414842344253817))",TTA,D,20+
rc_ratio_given_rep,216,26,5,0.8076923076923077,beta,6.597226194560587,1.369814916800368,0.9349130725658352,2,"(np.float64(0.6751848696627047), np.float64(1.7571469189852587), 0, 1)",TTA,D,20+
draw_ratio,335,289,185,0.35986159169550175,fisk,-532.0746617320619,-522.413594256827,0.3336161252230062,185,"(np.float64(1.6724062186406747), 0, np.float64(0.05081687463420276))",Venture Capital,A,0-3
rep_ratio,335,156,1,0.9935897435897436,lognorm,-67.59721410484705,-73.59721410484705,0.837368385413638,1,"(np.float64(1.0817683046512033e-15), 0, np.float64(0.037687296441490103))",Venture Capital,A,0-3
rc_ratio_given_rep,335,4,2,0.5,weibull_min,8.855478106980325,4.934919648660159,0.9252321085046638,2,"(np.float64(3.421738641966707), 0, np.float64(1.68883666815419))",Venture Capital,A,0-3
draw_ratio,345,344,248,0.27906976744186046,fisk,-702.4749762458019,-691.934690007307,0.5857527883692364,248,"(np.float64(2.014344150520171), 0, np.float64(0.06770945006166876))",Venture Capital,A,4-7
rep_ratio,345,323,9,0.9721362229102167,weibull_min,-7.736672611193072,-7.1449988791844135,0.8222599312642185,9,"(np.float64(0.8173170079696997), 0, np.float64(0.15935748191381582))",Venture Capital,A,4-7
rc_ratio_given_rep,345,11,4,0.6363636363636364,weibull_min,2.1090882703782707,0.26797135373794223,0.7390987128863448,4,"(np.float64(6.736955227610576), 0, np.float64(0.9060889849330152))",Venture Capital,A,4-7
draw_ratio,346,342,259,0.24269005847953215,fisk,-562.1691076085433,-551.4986234234447,0.9738111669852938,259,"(np.float64(2.1189453384176447), 0, np.float64(0.0982538196585149))",Venture Capital,A,8-11
rep_ratio,346,345,33,0.9043478260869565,lognorm,-91.78907166154012,-87.29954897714067,0.6720586922892033,33,"(np.float64(2.0637498787053454), 0, np.float64(0.026646011772970886))",Venture Capital,A,8-11
rc_ratio_given_rep,346,33,17,0.48484848484848486,beta,-8.095587693307298,-9.657836043570896,0.27594468435992403,5,"(np.float64(0.3150976907913783), np.float64(0.20491662118578716), 0, 1)",Venture Capital,A,8-11
draw_ratio,320,316,235,0.2563291139240506,fisk,-359.6742039693719,-349.2954474269394,0.8097138103388004,235,"(np.float64(1.951797271035646), 0, np.float64(0.126197030002987))",Venture Capital,A,12-15
rep_ratio,320,319,41,0.8714733542319749,weibull_min,-161.3989864625848,-156.25827026247185,0.9790521089619005,41,"(np.float64(0.5476453366527926), 0, np.float64(0.04251351806029221))",Venture Capital,A,12-15
rc_ratio_given_rep,320,41,21,0.4878048780487805,beta,6.475980384829075,5.643018261741295,0.8697157436073452,6,"(np.float64(1.3738481671234468), np.float64(2.0708642508960122), 0, 1)",Venture Capital,A,12-15
draw_ratio,295,283,189,0.3321554770318021,fisk,-287.4164377519469,-277.691196706768,0.9766753953578974,189,"(np.float64(2.007611142643766), 0, np.float64(0.12489513523272663))",Venture Capital,A,16-19
rep_ratio,295,295,56,0.8101694915254237,gamma,-267.1045386823089,-261.0284836101034,0.20583050266637926,56,"(0.3399427700865434, 0, np.float64(0.17919945983321656))",Venture Capital,A,16-19
rc_ratio_given_rep,295,56,32,0.42857142857142855,beta,3.111591408152936,5.943792212561776,0.7774824034574711,15,"(np.float64(1.340529884230396), np.float64(2.247884940713604), 0, 1)",Venture Capital,A,16-19
draw_ratio,1622,1061,405,0.6182846371347785,beta,-464.93608203681185,-449.1543996023855,0.00840827631414505,382,"(np.float64(0.9847889670472352), np.float64(3.8557199796345074), 0, 1)",Venture Capital,A,20+
rep_ratio,1622,1617,452,0.7204700061842919,gamma,-975.8250405123204,-963.4839939728237,0.9792522207606921,452,"(0.5760546527767787, 0, np.float64(0.24487079083058177))",Venture Capital,A,20+
rc_ratio_given_rep,1622,452,72,0.8407079646017699,beta,-26.389672004885675,-18.74157998317309,0.938658347275711,50,"(np.float64(0.4541542215655783), np.float64(0.865791337304246), 0, 1)",Venture Capital,A,20+
draw_ratio,692,646,406,0.3715170278637771,fisk,-1288.4581739192172,-1276.439114440412,0.6126083940347944,406,"(np.float64(1.492822419259923), 0, np.float64(0.04356194477009816))",Venture Capital,B,0-3
rep_ratio,692,343,2,0.9941690962099126,gamma,-5.405558833532341,-9.326117291852505,0.9338001908056817,2,"(0.41359833511242755, 0, np.float64(0.0756364349884024))",Venture Capital,B,0-3
rc_ratio_given_rep,692,3,0,1.0,beta,,,,0,no_data,Venture Capital,B,0-3
draw_ratio,725,710,463,0.34788732394366195,fisk,-1293.6494537400956,-1281.2362725778369,0.27414214834763395,463,"(np.float64(1.605782393450047), 0, np.float64(0.057637381909272666))",Venture Capital,B,4-7
rep_ratio,725,669,31,0.953662182361734,weibull_min,-63.363338653194475,-59.061377039739035,0.982389018997004,31,"(np.float64(0.6138606042603967), 0, np.float64(0.10649700108898517))",Venture Capital,B,4-7
rc_ratio_given_rep,725,31,14,0.5483870967741935,weibull_min,-0.4835345021551696,1.4336374866906052,0.003660780760857185,14,"(np.float64(6.204848544272117), 0, np.float64(0.9529806156229368))",Venture Capital,B,4-7
draw_ratio,680,672,473,0.2961309523809524,fisk,-1084.5754776089425,-1072.0981914434667,0.9486742870245171,473,"(np.float64(1.7424078203875304), 0, np.float64(0.07817477304041888))",Venture Capital,B,8-11
rep_ratio,680,666,31,0.9534534534534534,gamma,-88.87074675315861,-84.56878513970318,0.9951924820469836,31,"(0.5327996674581118, 0, np.float64(0.17767736120874542))",Venture Capital,B,8-11
rc_ratio_given_rep,680,32,21,0.34375,beta,2.7998987966393694,3.1176649633587123,0.7577052019007912,8,"(np.float64(3.761299660384221), np.float64(3.01255988024169), 0, 1)",Venture Capital,B,8-11
draw_ratio,631,618,432,0.30097087378640774,fisk,-850.1530039834352,-837.9477272187028,0.8939221644934227,432,"(np.float64(1.8804999526141342), 0, np.float64(0.09744362676587658))",Venture Capital,B,12-15
rep_ratio,631,631,67,0.8938193343898574,gamma,-159.2681658936372,-152.6540880354643,0.570760206071798,67,"(0.7400117467781834, 0, np.float64(0.14977378473557487))",Venture Capital,B,12-15
rc_ratio_given_rep,631,67,22,0.6716417910447762,beta,7.4611032116776475,9.400729810829649,0.7339745026716682,12,"(np.float64(1.2515138212401689), np.float64(1.0068488206370743), 0, 1)",Venture Capital,B,12-15
draw_ratio,558,529,337,0.3629489603024575,beta,-535.9878935459024,-520.7433295739955,0.09856369681347976,334,"(np.float64(1.2530852283695328), np.float64(6.06953438282384), 0, 1)",Venture Capital,B,16-19
rep_ratio,558,558,83,0.8512544802867383,weibull_min,-291.45140703824325,-284.19488521485346,0.7433385840578132,83,"(np.float64(0.7041618566330248), 0, np.float64(0.05487562636676997))",Venture Capital,B,16-19
rc_ratio_given_rep,558,83,27,0.6746987951807228,beta,6.104244410081855,8.660473728542888,0.4384204409072613,14,"(np.float64(1.2948121072294534), np.float64(1.686579099162939), 0, 1)",Venture Capital,B,16-19
draw_ratio,1940,1494,678,0.5461847389558233,beta,-755.13783323694,-737.2670383325226,6.043124412828741e-06,644,"(np.float64(0.8227581824628418), np.float64(3.1266804920532745), 0, 1)",Venture Capital,B,20+
rep_ratio,1940,1940,439,0.7737113402061856,weibull_min,-1267.9083961178767,-1255.6548978786511,0.39680455773046797,439,"(np.float64(0.7190881755353646), 0, np.float64(0.07706452621220371))",Venture Capital,B,20+
rc_ratio_given_rep,1940,439,81,0.8154897494305239,beta,-14.644888146322945,-6.136350606142578,0.4926697772099117,62,"(np.float64(0.6262384194564986), np.float64(1.155211863812858), 0, 1)",Venture Capital,B,20+
draw_ratio,405,372,228,0.3870967741935484,weibull_min,-734.2946485654933,-724.00661167863,0.9264834208238141,228,"(np.float64(0.9805188893869539), 0, np.float64(0.07190124993021116))",Venture Capital,C,0-3
rep_ratio,405,201,4,0.9800995024875622,lognorm,-13.62594924333418,-15.467066159974507,0.701644901352869,4,"(np.float64(0.8911925173203606), 0, np.float64(0.02335399114267138))",Venture Capital,C,0-3
rc_ratio_given_rep,405,4,0,1.0,beta,,,,0,no_data,Venture Capital,C,0-3
draw_ratio,456,422,269,0.36255924170616116,gamma,-793.427697205562,-782.6435630667565,0.7962698801395629,269,"(1.4139417146476532, 0, np.float64(0.06086913937898933))",Venture Capital,C,4-7
rep_ratio,456,370,11,0.9702702702702702,lognorm,-41.70187176545544,-40.508185947060326,0.7994826532259982,11,"(np.float64(1.3006837931098376), 0, np.float64(0.021277703203181526))",Venture Capital,C,4-7
rc_ratio_given_rep,456,11,3,0.7272727272727273,lognorm,-225.17746124695884,-227.88162438095452,0.3333333333333333,3,"(np.float64(7.37441270765748e-18), 0, np.float64(1.0))",Venture Capital,C,4-7
draw_ratio,444,439,293,0.3325740318906606,gamma,-776.7179028384792,-765.677385011428,0.27621477638051584,293,"(1.4700197789180658, 0, np.float64(0.06853140417182288))",Venture Capital,C,8-11
rep_ratio,444,426,20,0.9530516431924883,beta,-51.66308768171734,-47.68015858750138,0.6162649678644896,20,"(np.float64(0.30971549306996515), np.float64(1.6534693357904675), 0, 1)",Venture Capital,C,8-11
rc_ratio_given_rep,444,20,2,0.9,weibull_min,13.61684526918572,9.696286810865557,0.9252294350822389,2,"(np.float64(1.095491614776615), 0, np.float64(2.5694417537856995))",Venture Capital,C,8-11
draw_ratio,370,370,253,0.3162162162162162,gamma,-560.9072852487021,-550.3071167825195,0.8525689364534723,253,"(1.7249458143878864, 0, np.float64(0.07505309367035058))",Venture Capital,C,12-15
rep_ratio,370,368,37,0.8994565217391305,weibull_min,-110.12852710038464,-105.29577336245197,0.8693707695222042,37,"(np.float64(0.6833975747268783), 0, np.float64(0.06795716800962534))",Venture Capital,C,12-15
rc_ratio_given_rep,370,37,13,0.6486486486486487,beta,5.805764559102556,5.589405155323809,0.5763628930678985,7,"(np.float64(2.180020420915197), np.float64(2.2323854755669266), 0, 1)",Venture Capital,C,12-15
draw_ratio,291,290,173,0.40344827586206894,fisk,-282.65946415360185,-273.1995893701085,0.9966809008059201,173,"(np.float64(2.1002180762997202), 0, np.float64(0.12714206792026714))",Venture Capital,C,16-19
rep_ratio,291,291,39,0.865979381443299,weibull_min,-110.79913216115789,-105.80844722276895,0.9940473580309674,39,"(np.float64(0.5655403094954505), 0, np.float64(0.07310753078991059))",Venture Capital,C,16-19
rc_ratio_given_rep,291,39,11,0.717948717948718,weibull_min,1.621353058798193,2.815038877193305,0.015994476589525353,11,"(np.float64(6.482341595800875), 0, np.float64(0.9635733942110009))",Venture Capital,C,16-19
draw_ratio,1143,951,414,0.5646687697160884,beta,-614.4950698568368,-598.4795215884106,0.061203011965998644,405,"(np.float64(1.3250008864812746), np.float64(5.963063532315744), 0, 1)",Venture Capital,C,20+
rep_ratio,1143,1142,229,0.7994746059544658,weibull_min,-551.098954227492,-540.7977882168292,0.5889120093366331,229,"(np.float64(0.6695783318950732), 0, np.float64(0.09672100460757138))",Venture Capital,C,20+
rc_ratio_given_rep,1143,229,45,0.8034934497816594,beta,0.4111757683024857,5.594523232319802,0.9987571942295982,27,"(np.float64(0.5645224147634113), np.float64(0.8183809502234066), 0, 1)",Venture Capital,C,20+
draw_ratio,446,295,92,0.688135593220339,lognorm,-77.71978772099793,-70.1544219898508,0.7118460387245618,92,"(np.float64(1.0863227040825594), 0, np.float64(0.14131897548427888))",Venture Capital,D,20+
rep_ratio,446,438,59,0.865296803652968,beta,-79.14387995396277,-70.83373017833989,0.0005033443762077468,59,"(np.float64(0.3050164826306601), np.float64(0.523687101316513), 0, 1)",Venture Capital,D,20+
rc_ratio_given_rep,446,60,12,0.8,beta,7.952889369888117,5.49806681436768,0.5011436880932826,4,"(np.float64(0.992779947801702), np.float64(0.8949889463961179), 0, 1)",Venture Capital,D,20+
