quarter_end,index_level,msci_ret_q,msci_ret_q_lag1
1994-12-31,107.53,0.0,0.0
1995-03-31,98.59,-0.08313958895192042,0.0
1995-06-30,102.38,0.03844203266051305,-0.08313958895192042
1995-09-30,102.44,0.0005860519632741035,0.03844203266051305
1995-12-31,98.65,-0.036997266692698094,0.0005860519632741035
1996-03-31,106.97,0.08433857070451078,-0.036997266692698094
1996-06-30,109.17,0.02056651397588105,0.08433857070451078
1996-09-30,106.77,-0.02198406155537236,0.02056651397588105
1996-12-31,111.46,0.043926196497143355,-0.02198406155537236
1997-03-31,123.22,0.10550870267360501,0.043926196497143355
1997-06-30,124.17,0.007709787372179866,0.10550870267360501
1997-09-30,132.39,0.06619956511234593,0.007709787372179866
1997-12-31,122.97,-0.07115341037842726,0.06619956511234593
1998-03-31,144.08,0.17166788647637654,-0.07115341037842726
1998-06-30,139.17,-0.03407828983897854,0.17166788647637654
1998-09-30,97.25,-0.30121434217144494,-0.03407828983897854
1998-12-31,104.87,0.07835475578406181,-0.30121434217144494
1999-03-31,110.95,0.05797654238581096,0.07835475578406181
1999-06-30,121.56,0.09562866155926097,0.05797654238581096
1999-09-30,122.83,0.010447515630141568,0.09562866155926097
1999-12-31,136.61,0.1121875763250022,0.010447515630141568
2000-03-31,147.8,0.08191201229778189,0.1121875763250022
2000-06-30,142.71,-0.034438430311231394,0.08191201229778189
2000-09-30,146.69,0.027888725387148705,-0.034438430311231394
2000-12-31,134.16,-0.08541822891812667,0.027888725387148705
2001-03-31,126.72,-0.05545617173524153,-0.08541822891812667
2001-06-30,129.31,0.020438762626262763,-0.05545617173524153
2001-09-30,101.48,-0.2152192405846416,0.020438762626262763
2001-12-31,118.03,0.16308632242806453,-0.2152192405846416
2002-03-31,124.08,0.05125815470643058,0.16308632242806453
2002-06-30,106.74,-0.1397485493230174,0.05125815470643058
2002-09-30,81.83,-0.23337080756979578,-0.1397485493230174
2002-12-31,84.5,0.03262862031039959,-0.23337080756979578
2003-03-31,76.2,-0.09822485207100584,0.03262862031039959
2003-06-30,91.5,0.20078740157480301,-0.09822485207100584
2003-09-30,100.06,0.09355191256830597,0.20078740157480301
2003-12-31,108.04,0.07975214871077352,0.09355191256830597
2004-03-31,118.52,0.09700111069974082,0.07975214871077352
2004-06-30,121.72,0.026999662504218813,0.09700111069974082
2004-09-30,118.84,-0.02366086099244158,0.026999662504218813
2004-12-31,129.16,0.08683944799730714,-0.02366086099244158
2005-03-31,137.6,0.06534530814493644,0.08683944799730714
2005-06-30,145.5,0.057412790697674465,0.06534530814493644
2005-09-30,158.55,0.08969072164948466,0.057412790697674465
2005-12-31,164.42,0.03702302112898126,0.08969072164948466
2006-03-31,186.41,0.1337428536674372,0.03702302112898126
2006-06-30,177.08,-0.05005096293117317,0.1337428536674372
2006-09-30,191.32,0.08041563135306062,-0.05005096293117317
2006-12-31,215.77,0.1277963621158269,0.08041563135306062
2007-03-31,226.88,0.05149001251332441,0.1277963621158269
2007-06-30,232.2,0.023448519040902616,0.05149001251332441
2007-09-30,219.2,-0.05598621877691645,0.023448519040902616
2007-12-31,203.51,-0.07157846715328464,-0.05598621877691645
2008-03-31,179.02,-0.12033806692545812,-0.07157846715328464
2008-06-30,162.8,-0.09060440174282203,-0.12033806692545812
2008-09-30,141.29,-0.13212530712530723,-0.09060440174282203
2008-12-31,100.67,-0.2874938070634864,-0.13212530712530723
2009-03-31,94.01,-0.06615674977649744,-0.2874938070634864
2009-06-30,117.95,0.2546537602382726,-0.06615674977649744
2009-09-30,145.27,0.2316235693090294,0.2546537602382726
2009-12-31,150.14,0.03352378330006189,0.2316235693090294
2010-03-31,162.75,0.08398827760756644,0.03352378330006189
2010-06-30,150.19,-0.07717357910906297,0.08398827760756644
2010-09-30,164.04,0.09221652573407013,-0.07717357910906297
2010-12-31,183.14,0.11643501584979266,0.09221652573407013
2011-03-31,183.46,0.0017472971497216605,0.11643501584979266
2011-06-30,180.49,-0.01618881500054503,0.0017472971497216605
2011-09-30,144.87,-0.1973516538312372,-0.01618881500054503
2011-12-31,151.06,0.04272796300131154,-0.1973516538312372
2012-03-31,170.01,0.12544684231431202,0.04272796300131154
2012-06-30,160.4,-0.056526086700782185,0.12544684231431202
2012-09-30,172.25,0.07387780548628431,-0.056526086700782185
2012-12-31,181.47,0.05352685050798267,0.07387780548628431
2013-03-31,191.91,0.05753017027607865,0.05352685050798267
2013-06-30,185.6,-0.03287999583137935,0.05753017027607865
2013-09-30,207.66,0.11885775862068959,-0.03287999583137935
2013-12-31,224.79,0.08249060965039012,0.11885775862068959
2014-03-31,236.21,0.05080297166244052,0.08249060965039012
2014-06-30,232.59,-0.015325346090343306,0.05080297166244052
2014-09-30,223.97,-0.037060922653596506,-0.015325346090343306
2014-12-31,230.88,0.030852346296379007,-0.037060922653596506
2015-03-31,268.1,0.16120928620928643,0.030852346296379007
2015-06-30,266.03,-0.00772099962700501,0.16120928620928643
2015-09-30,244.53,-0.08081795286245907,-0.00772099962700501
2015-12-31,261.6,0.06980738559685928,-0.08081795286245907
2016-03-31,245.37,-0.06204128440366974,0.06980738559685928
2016-06-30,230.5,-0.0606023556261972,-0.06204128440366974
2016-09-30,247.19,0.07240780911062905,-0.0606023556261972
2016-12-31,257.3,0.040899712771552243,0.07240780911062905
2017-03-31,277.03,0.076680917217256,0.040899712771552243
2017-06-30,280.05,0.010901346424575076,0.076680917217256
2017-09-30,291.89,0.04227816461346179,0.010901346424575076
2017-12-31,297.71,0.019939018123265484,0.04227816461346179
2018-03-31,289.61,-0.02720768533136264,0.019939018123265484
2018-06-30,297.17,0.02610407099202372,-0.02720768533136264
2018-09-30,295.18,-0.006696503684759603,0.02610407099202372
2018-12-31,253.82,-0.14011789416627152,-0.006696503684759603
2019-03-31,285.97,0.12666456544007576,-0.14011789416627152
2019-06-30,291.05,0.017764101129489118,0.12666456544007576
2019-09-30,294.48,0.011784916680982693,0.017764101129489118
2019-12-31,320.44,0.0881553925563705,0.011784916680982693
2020-03-31,235.81,-0.26410560479340905,0.0881553925563705
2020-06-30,275.4,0.16788940248505146,-0.26410560479340905
2020-09-30,289.78,0.052214960058097226,0.16788940248505146
2020-12-31,330.71,0.14124508247636136,0.052214960058097226
2021-03-31,355.9,0.07616945359983074,0.14124508247636136
2021-06-30,376.62,0.0582186007305423,0.07616945359983074
2021-09-30,385.2,0.022781583559025043,0.0582186007305423
2021-12-31,399.75,0.03777258566978192,0.022781583559025043
2022-03-31,356.96,-0.10704190118824275,0.03777258566978192
2022-06-30,297.36,-0.16696548632900032,-0.10704190118824275
2022-09-30,266.52,-0.10371267150928176,-0.16696548632900032
2022-12-31,297.32,0.11556355995797696,-0.10371267150928176
2023-03-31,314.56,0.05798466298937166,0.11556355995797696
2023-06-30,308.93,-0.017898016276703954,0.05798466298937166
2023-09-30,300.29,-0.027967500728320327,-0.017898016276703954
2023-12-31,326.29,0.086582969795864,-0.027967500728320327
2024-03-31,339.3,0.039872506052897716,0.086582969795864
2024-06-30,333.23,-0.017889773062186864,0.039872506052897716
2024-09-30,347.18,0.04186297752303214,-0.017889773062186864
2024-12-31,332.67,-0.04179388213606772,0.04186297752303214
2025-03-31,335.9,0.009709321549884242,-0.04179388213606772
2025-06-30,356.94,0.0626376897886276,0.009709321549884242
2025-09-30,360.0,0.008572869389813498,0.0626376897886276
2025-12-31,363.19,0.008861111111111208,0.008572869389813498
